company_a,company_b,norm_a,norm_b,similarity
Moodys Investors Service,Moody's Investors Service,moodys investors service,moody's investors service,0.98
Wits Innovation Lab,wits inovation lab,wits innovation lab,wits inovation lab,0.973
Exxon Mobil Corporation,ExxonMobil,exxon mobil,exxonmobil,0.952
Geak Minds,Geakminds Technologies,geak minds,geakminds,0.947
Qcentrio,Qcentro,qcentrio,qcentro,0.933
Clarion Technologies,Clario,clarion,clario,0.923
Deutsche Bahn,Deutsche Bank,deutsche bahn,deutsche bank,0.923
Tele Infotech,Tele Tnfotech,tele infotech,tele tnfotech,0.923
Advent Global Solutions,Adventa Technology Inc.,advent,adventa,0.923
Maneva Consulting,Manek Consulting,maneva consulting,manek consulting,0.909
Conneqtion Group,Connexion Group,conneqtion group,connexion group,0.903
