id,title,company,location_raw,tagsAndSkills
260925503738,Senior Software Engineer,Idemia Group,Noida,"Biometrics,Software testing,Basic,Coding,Customer satisfaction,Programming,Technology leadership,Functional analysis"
260925503653,Sr.Lead Software Engineer,Capital One,Bengaluru,"Cloud computing,SAN,Project management,Analytical,Javascript,Stakeholder management,Financial services,Monitoring"
250925921558,Staff Software Engineer,R1 RCM,Noida,"python,natural language processing,machine learning,javascript,ml,chatbot,algorithms,rdbms"
250925921541,P2-Staff Software Engineer - RPA Engineering_RPA-3,R1 RCM,Noida,"python,natural language processing,machine learning,javascript,ml,chatbot,algorithms,rdbms"
250925509337,Full Stack Developer,Xcel Hires Managment Solutions Pvt Ltd,Bengaluru,"Database architecture,Architecture,MySQL,Cloud,Database,Deployment,MongoDB,Management"
240925913715,Slot Game Producer,Code Orion,Srikakulam,"data analysis,javascript,game development,java,project monitoring,c#,css,virtual reality"
240925913706,Slot Game Producer,Code Orion,Nagpur,"data analysis,javascript,game development,java,html,c#,css,virtual reality"
240925913684,Slot Game Producer,Code Orion,Palakkad,"data analysis,javascript,game development,java,html,c#,css,virtual reality"
240925913653,Slot Game Artist For Slot Games,Code Orion,Kurnool,"css,ui,html,photoshop,javascript,game art,concept art,character designing"
240925501760,"Software Engineering Manager, Fullstack",ValGenesis,Chennai,"MS SQL,Postgresql,Consulting,Scrum,MongoDB,Life sciences,Customer experience,Apache"
31025013280,RPA - Internship,Kapitus Strategy Services,Chennai,"Power Automate,Powerapps,Python,SQL,Rpa,Automation"
11025503963,Intern,IA Meetings,Gurugram,"matlab,python,professor activities,research analysis,teaching,training,analysis,machine learning"
11025501780,Talented IT Professionals,Square Infosoft,Surat,"c#,mcitp,project management,manual testing,business analysis,sql server,qlikview,mrs"
240925933465,Senior Integration FullStack Engineer Asp.net Core 8 and ReactJS,Sapphire Manpower Services,"Kolkata, Nagpur, Pune, Gurugram, Chennai, Bengaluru, Delhi / NCR, Mumbai (All Areas)","Git skills,Asp.net core 8,Fullstack developer,Api Integration,React.Js,Octopus,Development,Full Stack"
290925912010,Platform Engineer ( WebSphere / WCS / WAS ),Suzva Software Technologies,"Hybrid - Noida, Pune, Bengaluru","WebSphere,vulnerability analysis,Performance tuning,Installation,java,configuration,WCS,Security"
290925903116,Sr. Azure Cloud Platform Engineer,IDESLABS PRIVATE LIMITED,"Noida, Hyderabad, Pune","python,azure cloud,devops,troubleshooting,aws,tcp,kubernetes,continuous integration"
290925013569,"Sr Full Stack Developer Java, Angular, SQL (MMIS)",Innova Solutions,"Hybrid - Noida, Hyderabad, Pune","Java,Angular,Mmis,SQL,Stack,Full Stack,SR,Development"
260925925490,Azure Cloud Support Engineer,Suzva Software Technologies,"Noida, Pune, Bengaluru","Azure Cloud Support,Storage,Git,Azure Cloud,AKS,Key Vault,ADO,SQL"
260925911439,Azure Cloud Support Engineer Kusto Query Language,Suzva Software Technologies,"Hybrid - Noida, Pune, Bengaluru","Azure Cloud Support,Git,KQL,AKS,Azure Cloud Support Engineer,SQL,Cloud,Azure Cloud"
260925010606,Hiring For CCAI QA- Pan  India- FTE position,Cerebra,"Hyderabad, Pune, Bengaluru","Cyara,CCAAS,Gen ai,genesys,Quality assurance,Artificial Intelligence,Pan,Positioning"
110825017999,Oracle Cloud ERP Security,Cloudxtreme,"Hyderabad, Pune, Bengaluru","security,Cloud,Oracle,C#,AAC,VBA,FRC,GRC"
110125900008,Perl Developer - Immediate Joiner,Agiliad,"Noida, Pune, Bengaluru","Perl,Automation,Object Oriented Perl,Storage,CGI,Perl Script,Perl Programming,Scripting"
31025019897,GenAI Data Scientist,BOT Tech,"Hybrid - Noida, Pune, Gurugram, Bengaluru","Gen AI,Python,NLP,LLM,Machine Learning,Gen,Data,Machine"
300925503987,Senior Platform Engineer,Bridgenext Technologies,"Pune, Bengaluru","Automation,orchestration,Networking,data security,SCALA,Monitoring,SQL,Python"
300925026359,Mainframe Developer,Ltimindtree,"Pune, Chennai, Bengaluru","TACL,Cobol,tac,Mainframe Production Support,Mainframes,Development"
300925015421,Software Developer - Oracle forms and reports,Logic Planet,"Pune, Bengaluru","Insurance,PLSQL,Oracle Forms,Oracle Reports,Oracle,Software,Oracle Workflows,Software development"
300925012221,Azure Devops Engineer,Orcapod Consulting Services,"Hyderabad, Pune, Delhi / NCR","Azure Devops,Automation,Cognitive Services,Aks,Azure Ai,Kubernetes,Python,Artificial Intelligence"
300925011264,Functional Automation Tester(Cards Domain),Manvision Technologies,"Hyderabad, Pune","Java,GUI Testing,Uft,Selenium,Cards Domain,Unified Functional Testing,VB SCRIPT,Automation Testing"
290925016363,Workday Extend Consultant - Pan India,Symphoni Hr,"Pune, Bengaluru, Delhi / NCR","Extend,Workday Hcm,Workday,Workday Integration,Configuration,Workday technical,SQL,Technical"
280925004715,AI/ML Engineer - Generative AI & LLMs,Fabric,"Hyderabad, Pune","LMS,Generative Ai,Data Processing,Deep Learning,Python,Large Language Model,Transformers,AIML"
260925912754,Hadoop Professional,Krazy Mantra HR Solutions Pvt. Ltd,"Hyderabad, Pune","sql,spark,hadoop,python,kafka,hive,data warehousing,apache pig"
260925911297,Spark + Scala Professional,Krazy Mantra HR Solutions Pvt. Ltd,"Noida, Pune, Chennai","hive,scala,scala programming,spark,hadoop,emerging technologies,python,oracle"
260925024326,Shopify Developer,Amplicomm Solutions,"Pune, Bengaluru","Shopify Plus,HTML5,JavaScript,MySQL,Shopify Development,Shopify CLI,Debugging,Shopify Liquid"
260925016316,Google Cloud Engineer,66degrees,"Hybrid - Pune, Bengaluru","Data Flow,Google Workspace Admin,Google Cloud Platforms,Google Cloud Platform Administration,Python,Cloud Sql,Cloud Storage,Pubsub"
260925012959,Data Engineer,Purview Services,"Hybrid - Hyderabad, Pune","scala,kafka,Data Engineer,etl,Open Telemetry,python,DOCKER,OTLP"
160925041572,Data Analytics Engineer (Looker),66degrees,"Hybrid - Pune, Bengaluru","Looker,SQL,Python,Data analytics,Analytics,Data"
300925013880,Hiring For Quality Engineer with QMS For Pune and Gurgaon,Glauben Technologies,"Pune, Gurugram","Iso Standards,Six Sigma,QMS,Medical Devices,Risk Management,GD&T,Quality,T"
290925502037,Senior Scala Developer,Blue Planet Solutions Inc,"Pune, Gurugram","Telecom,Performance tuning,Automation,Networking,Data modeling,MySQL,Agile,Network security"
260925912800,"C++, Linux Developer",Krazy Mantra HR Solutions Pvt. Ltd,"Pune, Kozhikode, Chennai","c++,gdb,qnx,infotainment,middleware,python,socket programming,embedded linux"
31025008442,Aws Lead,Amrit Consultancy,"Pune, Coimbatore","Aws Lambda,AWS,s3,Amazon Ec2,Aws Cloud,Vpc,Amazon Cloudwatch,Lambda Aws"
300925926973,Fullstack Developer ( React - Java),SAS Research and Development (SAS R&D),Pune,"sql,design patterns,oops,rest,javascript,continuous integration,golang,hibernate"
300925922306,.NET + Azure + Angular Professional,PRADEEPIT CONSULTING SERVICES PVT LTD,Hybrid - Pune,"linkedin,angular,react.js,twitter,.net,digital marketing,erection,transformers"
300925912904,Full Stack Developer,Inventonus,Pune,"Springboot,Full stack,Restful API,Angular,SQL,Stack,Development,API"
300925911912,Full Stack Engineer / Application Support,VAK Consulting LLC,Pune,"Reactjs,MySQL,Rest API,AWS,Nodejs,Docker,CI/CD,Application Support"
300925504869,MS Dynamics Develper,Cyquent,Pune,"Data migration,Automation testing,Version control,devops,business rules,Customer service,Microsoft Dynamics,microsoft"
300925504656,Analyst - User Experience,Mro Corp,Pune,"Manager Quality Assurance,Front end,Javascript,Agile,Healthcare,HTML,Adobe,Stakeholder management"
300925503388,AWS Cloud Technical Leader,KPIT,Pune,"Maven,GIT,Analytical,Incident management,Troubleshooting,Continuous improvement,JIRA,AWS"
300925502616,Google Cloud Engineer/Administrator,66degrees,Pune,"Automation,VPN,Billing,Security services,Network security,Information technology,IPS,Technical support"
300925500588,Staff Systems Test Engineer,Tarana Wireless,Pune,"TCP,Automation,Linux,Debugging,Scheduling,Regression analysis,Troubleshooting,Python"
300925500503,Senior Software DevOps Engineer,Rapid7,Pune,"Automation,Product engineering,Compliance,Regression testing,Vulnerability,Selenium,Vulnerability management,Operations"
300925030504,CRM - Global Business Analyst,Lubrizol,Pune,"python,data analysis,analytical,business management,ms dynamics crm,bi,verbal communication,power bi"
300925028425,Grab the Opportunity For MS CRM Technical Consultant_Pune location!!,Prutech Solutions,Hybrid - Pune,"D365,AZURE,MS Dynamics CRM,Crm Development,Plugins,C#,Javascript,Ms Crm Dynamics"
300925027931,Senior C++ Developer,Venpa Staffing,Pune,"C#,C++,SQL,Senior,Development"
300925024372,Frontend Developer | Forex CFD Domain,fluid.live,Remote,"Forex,Typescript,React.Js,Python,SQL,Design Concepts,Broker,Api Integration"
300925019798,Artificial Intelligence Engineer,Spes Manning,Pune,"CrewAI,Image Processing,Mistral,FAISS,Process,Processing,Intelligence,Artificial Intelligence"
300925013089,Solution Architect,Malomatia,Hybrid - Pune,"Native,RFI,Azure Cloud,.Net,RFP,Solution Architect,Cloud,Architecture"
300925011347,Senior ServiceNow Developer Strategic Portfolio Management SPM Expert,InfoVision Inc,Pune,"application portfolio management,rest,development,css,configuring,analytical,configuration,custom"
290925917089,Public Cloud Network Specialist,FIS,Pune,"powershell,python,networking protocols,network architecture,bash,network engineering,nagios,bgp"
290925915449,Business Analyst  Treasury Domain,FIS,Pune,"presentation skills,quantum,capital market,treasury,web application testing,python,c++,data analysis"
290925913290,Test Lead,IDESLABS PRIVATE LIMITED,Pune,"bdd,java,selenium,cucumber framework,testng,automation framework,rest,software testing"
290925912866,.Net + Azure Professional,PRADEEPIT CONSULTING SERVICES PVT LTD,Hybrid - Pune,"c#,microsoft azure,docker,twitter,.net,digital marketing,erection,transformers"
290925902744,"Managed Service Operations Analyst - TAM , CLO/CDO",FIS,Pune,"data analysis,structured finance,clo,client servicing,vba,service operations,software testing,service management"
290925503266,Technical leadership & individual contribution Professional,REWISE ANALYTICS TECHNOLOGIES PRIVATE LIMITED,Pune,"Product management,Data modeling,Coding,Postgresql,Agile,Data structures,Stored procedures,microsoft"
290925502093,Engineer II - Software Engineering,World Courier,Pune,"JMS,Linux,Data modeling,Javascript,JDBC,HTML,Windows,Informatica"
290925501869,MS Dynamics & Power Platform Architect,Wissen Infotech,Pune,"vendor management,contract management,data analysis,kpi,purchase,sourcing,excel,commercial management"
290925501832,Associate - Quality Control,Softtech Engineers,Pune,"vendor management,contract management,data analysis,kpi,purchase,sourcing,excel,commercial management"
290925501784,Lead Data Engineer,Principal Global Services,Pune,"continuous integration,snowflake,architecting,cd,python,github,aws iam,glue"
290925501391,Azure DevOps Engineer,Wissen Infotech,Pune,"vendor management,contract management,data analysis,kpi,purchase,sourcing,excel,commercial management"
290925501250,Senior Software Engineer,Principal Global Services,Pune,"operations management,project management,software testing,team management,problem solving,sharepoint,accounting,sql"
290925500676,Java Lead,Techverito Software Solutions,Pune,"Hibernate,Automation,NoSQL,RDBMS,Coding,TDD,MySQL,MongoDB"
290925005071,Technical Data Engineering Manager,Lubrizol,Pune,"python,sap,analytical,team management,data processing,query,azure synapse,interpersonal skills"
270925010179,Cypress Testing,Ltimindtree,"Hybrid - Bhopal, Indore, Pune","Cypress,Javascript,QA Automation,Quality assurance,Automation,Software testing"
260925929976,.Net Developer,IDESLABS PRIVATE LIMITED,Pune,"net development,c#,sql server,.net,asp,css,adobe xd,wordpress"
260925928038,Agentic AI Professional,IDESLABS PRIVATE LIMITED,Pune,"python,artificial intelligence,react.js,troubleshooting,typescript,c#,css,owasp"
260925927841,Senior Lead Engineer - Development ( SRE / Cloud / Monitoring tools ),FIS,Pune,"continuous integration,automation tools,troubleshooting,aws,scripting languages,python,ci/cd,microsoft azure"
260925924242,Linux Developer Distribution Packaging,Talent21 Management  Shared Services Pvt. ltd.,Pune,"Linux,Golang,Ubuntu,Azure,Debugging,system configuration,IoT,DevOps"
260925919576,Cassandra Database Administrator,Talent21,Pune,"Cassandra Database,AWS,Cassandra Administration,Cassandra,Database administration,DBMS,Cassandra Database Administration,Administration"
