id,title,company,location_raw,tagsAndSkills
270925008041,Sr. HR Recruiter (NON IT),Orion,Kolkata(Chinar Park),"Communication,Manpower,Staffing,Convincing Power,Hiring,Recruitment,SR,Communication skills"
270925007584,Fire And Safety Officer,"Apollo Hospitals International Limited, Ahmedabad","Gandhinagar, Ahmedabad","Safety Officer Activities,Fire Protection,Fire Safety,Fire Engineering,Fire Prevention,Safety Management,Fire Management,Hazard Analysis"
270925007492,Opening For Performance Marketing - Chennai,TVS Credit Services Ltd,Chennai,"Performance Marketing,User Acquisition,growth marketing,Paid Marketing,Acquisition,Performance,Usage,Marketing"
270925007443,Medical Billing Executive,GNR Global Services,"Mohali, Chandigarh, Kharar, Zirakpur","Fluent English,Spoken English,Good English Communication,Medical,Medical billing,Billing,Fluent,English"
270925007430,Senior Group Product Manager -  CNS Therapy,Cadila Pharmaceuticals,Ahmedabad,"Product Marketing,CNS,Product Management,Nephrology,Group Product Management,Brand Marketing,Neurology,Brand Management"
270925007323,Senior Accountant,Vedaant Techno Art,"Noida, Greater Noida","Tds Filing,ITR,Gst Filing,Balance Sheet Finalisation,Tax Audit,Return Filing,Accounts Finalisation,E Way Bill"
270925007180,Maintenance Technician,Avalon Technologies,"Sriperumbudur, Chennai, Kanchipuram","Booth,Conveyor,Special Process,Utility Maintenance,Powder Coating,Preventive Maintenance,Paint Shop,Powder"
270925006659,Officer/Engineer Technical,Balkrishna Industries (BKT),Aurangabad(Waluj),"M.S Office,SAP,Computer Skills,MS Office,Technical,Computer Knowledge,Computer,Office"
270925006525,Officer- Technical Lab,Balkrishna Industries (BKT),Aurangabad(Waluj),"SAP,Laboratory Knowledge,Microsoft,Technical,Lab"
270925006180,Hiring For Voice & Chat Process,GNR Global Services,"Mohali, Chandigarh","BPO,Domestic Voice Process,Non Voice Process,Domestic BPO,Domestic Calling,Chat Support,Bpo Non Voice,Domestic Process"
270925005692,Talent Acquisition Professional,Knorr Bremse,"Palwal, Faridabad","Blue Collar Hiring,Talent Acquisition,Recruitment Management,Talent Sourcing,Recruitment,Acquisition,Sourcing,Management"
270925005277,Hiring For Chat Process,GNR Global Services,"Mohali, Chandigarh","Chat Support,US Process,Customer Support,Customer Service,International Call Center,Non Voice Process,International Non Voice,International Process"
270925005267,HR Recruiter | Regional Recruiter | Jaipur,TVS Credit Services Ltd,Jaipur,"NBFC,Bulk Hiring,Sales Hiring,Non IT Recruitment,Volume Hiring,Recruitment,Sales,Regional"
270925004781,MEP Billing Engineer (Jaipur),Pacific Development Corporation,Jaipur,"Mep Billing Engineer,Mep Billing,Site Billing,MEP,Site,Billing,Site Accounting"
270925004697,"JOB For MALE |Fraud Prevention Credit card || Poonamallee, Porur",Manpowergroup Services India,Chennai(Poonamallee +1),"Compliance Monitoring,Credit Card Fraud,Fraud Monitoring,fraud Prevention,KYC Compliance,Transaction Monitoring,Risk Assessment,Fraud Risk Management"
270925004651,Pole Deployment Engineer (Off Role),Indus Towers,"Panipat, Sirsa, Hisar","Fiber Optics,Ftth,Fttx,NLD,Deployment,Tower Erection,Row,OFC"
270925000122,"Senior Engineer-Mechanical (Planning/Billing), Varanasi, UP",ALP Talent Solutions,Varanasi,"Mechanical,Billing,Planning,Billing Engineering,Planning Engineering,Engineering,Senior"
270925000101,"Design Engineer-Mechanical/Civil (Fabrication Drawing), Varanasi, UP",ALP Talent Solutions,Varanasi,"Tekla,AutoCAD,Mechanical Design,Solid Works,Bocad,Drawing,Fabrication,Solid"
270925000088,"Design Manager-Mechanical/Civil (Fabrication Drawing) For Varanasi, UP",ALP Talent Solutions,Varanasi,"Tekla,AutoCAD,Mechanical Design,Solid Works,Bocad,Fabrication Drawing,Mechanical,Civil"
270924016565,Cardiologist For Nalgonda & Vijayawada,Kamineni Hospitals,"Vijayawada, Nalgonda","Angiography,Interventional Cardiology,2D Echo,Cath Lab,Angioplasty,medical services,Lab,Medical"
270825021863,International Voice Process || Customer Care & Upselling (UK Shift),Cogenthub,Gurugram,"International BPO,Fluent English,Customer Service,International Call Center,International Sales,Upselling,Customer Support,UK Telecom"
270825005762,Assistant Manager- Bakery,Bunge,Nellore,"Bakery,shift,Assistance,Management"
270525001120,4LPA CTC For Email Chat Backend & Non Voice Process For Kolkata,Human Before Resource,"Kolkata, Rajarhat, Newtown","Blended Process,Customer Service,Non Voice,Email Process,Chat Process,Email Support,Email,Non Voice Process"
270225007394,Embryologist,Ang Placement And Staffing Solutions,"Jalandhar, Noida, Gurugram","Embryologist,Sperm Collection and Preparation,Embryo Biopsy,Fertilization,Embryo Transfer,Cryopreservation,Thawing of Embryos,Embryo Culture and Monitoring"
