skillUri,sector,tier,relationType,matchedOn,priority,match_count,reason
http://data.europa.eu/esco/skill/ccd0a1d9-afda-43d9-b901-96344886e14d,IT/Software - Software Development,A-occupation,optional,software analyst,1.0,12.0,weak signal (label-only or optional-relation)
http://data.europa.eu/esco/skill/72a74f69-5cf1-43c5-99b9-62a444578919,IT/Software - Software Development,A-occupation,essential,software developer,0.0,1.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/4fabca9a-7435-4f33-b1da-3cdb00340fdc,IT/Software - Software Development,A-occupation,essential,software developer,0.0,1.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/541561bc-510c-4a99-881c-2d8bf5a85462,IT/Software - Software Development,A-occupation,essential,software developer,0.0,1.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/6a899482-8bcf-40ca-ae67-579a1cc467ab,IT/Software - Software Development,A-occupation,essential,software developer,0.0,1.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/3a5231a0-8c30-48ee-b671-08e2debd4441,IT/Software - Software Development,A-occupation,essential,software manager,0.0,1.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/c7cc6dc5-d56b-4323-8e5c-47c4022f615f,IT/Software - Software Development,A-occupation,essential,software manager,0.0,1.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/fb7aee4d-f6c6-4a87-8e9d-8e542b3771f8,IT/Software - Software Development,A-occupation,essential,software manager,0.0,1.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/07e47d58-dd0e-4302-9e68-70a188e89065,IT/Software - Software Development,A-occupation,essential,software manager,0.0,1.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/248894d1-42dc-474f-af6e-2da52ac0c679,IT/Software - Software Development,A-occupation,essential,software manager,0.0,1.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/6430eb0d-c6de-46b7-a7fc-3dd2e8e62a69,IT/Software - Software Development,A-occupation,essential,software manager,0.0,1.0,cut by per-sector cap - candidate for manual promotion
http://data.europa.eu/esco/skill/7a17d7ce-01a2-4746-bbcc-22ffe22fa16e,IT/Software - Software Development,A-occupation,essential,software manager,0.0,1.0,cut by per-sector cap - candidate for manual promotion
