conceptUri,preferredLabel
http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f,show initiative
http://data.europa.eu/esco/skill/0171653e-c8e9-4c24-bb86-a4b6fe038f25,adopt ways to foster biodiversity and animal welfare
http://data.europa.eu/esco/skill/045f71e6-0699-4169-8a54-9c6b96f3174d,advise others
http://data.europa.eu/esco/skill/05aa7c09-46e7-433f-a81b-92841f4551e7,accept criticism and guidance
http://data.europa.eu/esco/skill/0b709c64-a57a-4976-86bd-34d2cf34fa4f,"apply knowledge of philosophy, ethics and religion"
http://data.europa.eu/esco/skill/0d75a128-bd88-4c1b-b70d-8e963aeb490c,adopt ways to reduce pollution
http://data.europa.eu/esco/skill/113b4428-0a31-4199-8496-070af7854b91,meet commitments
http://data.europa.eu/esco/skill/13b4a3d2-abdf-4442-8e52-d7464a58ecbc,adjust to physical demands
http://data.europa.eu/esco/skill/199f7919-5114-41b6-b6a5-41e0e4896ec1,assume responsibility
http://data.europa.eu/esco/skill/19a64e91-bfe3-4c48-9225-3bb1229b12f0,show determination
http://data.europa.eu/esco/skill/19ba11f3-9c99-41fd-a7c9-f77e6a026186,carry out calculations
http://data.europa.eu/esco/skill/1d1fedcb-4995-44ac-90f5-f31a157ce512,manage frustration
http://data.europa.eu/esco/skill/1dabb413-18e8-48ed-a963-44978e67ad32,calculate probabilities
http://data.europa.eu/esco/skill/1ddc021d-d818-4731-904f-842d7491f419,manage financial and material resources
http://data.europa.eu/esco/skill/1fce1197-3a5b-45b7-8797-575cd3b57a01,show commitment
http://data.europa.eu/esco/skill/20012caa-b63c-4cb9-b2b8-01a1cfdfc1d1,think quickly
http://data.europa.eu/esco/skill/2aaad52d-599e-4e77-a681-bbc236825821,evaluate environmental impact of personal behaviour
http://data.europa.eu/esco/skill/35ebe444-9ece-4fbc-a55d-e99ea37267ae,manage quality
http://data.europa.eu/esco/skill/409a0245-0e6c-4aac-ba16-0920ecb76a8d,exercise self-reflection
