S.No,Course Name,SME Name,Institute,Current Duration in weeks,No. of credits,NPTEL URL,Comments,Available for Jan- April 2026,Direct Swayam Link,NPTEL_ID,Available for Jul-Dec 2025
1,Brief Introduction To Psychology,Prof. Braj Bhushan,IITK,4,1,https://nptel.ac.in/courses/109104093/,-,No,https://onlinecourses.nptel.ac.in/noc25_hs175/preview,109104093,Yes
2,"Cognition, Transformation and Lives",Prof. Alok Bajpai,IITK,4,1,https://nptel.ac.in/courses/109/104/109104121/,-,No,https://onlinecourses.nptel.ac.in/noc25_hs198/preview,109104121,Yes
3,Fundamentals of Patent Drafting,Prof. Feroz Ali,IITM,4,1,https://nptel.ac.in/courses/109106128/,-,Yes,No,109106128,No
4,How the Brain Creates Mind,Prof. Alok Bajpai,IITK,8,2,https://nptel.ac.in/courses/109104108/,-,Yes,No,109104108,No
5,Introduction to Basic Spoken Sanskrit,Prof. Anuradha Choudry,IIT KGP,12,3,https://nptel.ac.in/courses/109/105/109105135/,-,No,No,109105135,No
6,Introduction To Indian Art-An Appreciation,Prof. Soumik Nandy Majumdar,IITK,4,1,https://nptel.ac.in/courses/109104102/,-,No,No,109104102,No
7,Patent Drafting for Beginners,Prof. Feroz Ali,IITM,4,1,https://nptel.ac.in/courses/109/106/109106128/,-,Yes,https://onlinecourses.nptel.ac.in/noc25_hs117/preview,109106128,Yes
8,Visual Perception and Art: A Survey Across the Cultures,Prof. Soumik Nandy Majumdar,IITK,4,1,https://nptel.ac.in/courses/109/104/109104122/,-,No,https://onlinecourses.nptel.ac.in/noc25_hs182/preview,109104122,Yes
9,Consumer Behaviour,Prof. Srabanti Mukherjee,IIT KGP,8,2,https://nptel.ac.in/courses/110/105/110105074/,-,Yes,No,110105074,No
10,Consumer Psychology,Prof. Naveen Kashyap,IITG,8,2,https://nptel.ac.in/courses/109/103/109103136/,-,No,https://onlinecourses.nptel.ac.in/noc25_hs194/preview,109103136,Yes
11,Disability Studies: an introduction,Prof. Hemachandran Karah,IITM,8,2,https://nptel.ac.in/courses/109/106/109106168/,-,No,No,109106168,No
12,Emotional Intelligence,Prof. Rabindra Kumar Pradhan,IIT KGP,8,2,https://nptel.ac.in/courses/109/105/109105116/,-,Yes,No,109105116,No
13,Energy Economics And Policy,Prof. Shyamasree Dasgupta,IIT Mandi,8,2,https://nptel.ac.in/courses/109/106/109106161/,-,No,https://onlinecourses.nptel.ac.in/noc25_hs136/preview,109106161,Yes
14,"English Literature of the Romantic Period, 1798-1832",Prof. Pramod K. Nayar,University of Hyderabad,8,2,https://nptel.ac.in/courses/109/106/109106149/,-,Yes,No,109106149,No
15,Film Appreciation,Prof. Aysha Iqbal,IITM,8,2,https://nptel.ac.in/courses/109/106/109106086/,-,No,No,109106086,No
16,Gender and literature,Prof. Avishek Parui,IITM,8,2,https://nptel.ac.in/courses/109/103/109103122/,-,No,https://onlinecourses.nptel.ac.in/noc25_hs128/preview,109103122,Yes
17,Intermediate Level of Spoken Sanskrit,Prof. Anuradha Choudry,IIT KGP,12,3,https://nptel.ac.in/courses/109/105/109105169/,-,No,No,109105169,No
