course_id,skill_id,coverage_level,confidence
106101237,SKILL_0486,direct_title_match,0.97
106101237,SKILL_0487,category_inferred,0.175
106101237,SKILL_0417,category_inferred,0.173
106101237,SKILL_0500,category_inferred,0.156
106101237,SKILL_0437,category_inferred,0.15
106101237,SKILL_0494,category_inferred,0.136
106101237,SKILL_0530,category_inferred,0.135
106101466,SKILL_0263,category_inferred,0.3
106101466,SKILL_0237,category_inferred,0.185
106101466,SKILL_0184,category_inferred,0.169
106101466,SKILL_0159,category_inferred,0.153
106101466,SKILL_0264,category_inferred,0.14
106101466,SKILL_0224,category_inferred,0.123
106103220,SKILL_0358,direct_title_match,0.97
106103220,SKILL_0333,category_inferred,0.183
106103220,SKILL_0336,category_inferred,0.179
106103220,SKILL_0341,category_inferred,0.15
106104182,SKILL_0431,direct_title_match,0.97
106104182,SKILL_0429,category_inferred,0.263
106104182,SKILL_0474,category_inferred,0.237
106104182,SKILL_0417,category_inferred,0.208
106104182,SKILL_0473,category_inferred,0.208
106104182,SKILL_0472,category_inferred,0.188
106104182,SKILL_0485,category_inferred,0.187
106104189,SKILL_0254,direct_title_match,0.97
106104189,SKILL_0248,category_inferred,0.337
106104189,SKILL_0169,category_inferred,0.313
106104189,SKILL_0156,category_inferred,0.251
106104189,SKILL_0170,category_inferred,0.197
106104189,SKILL_0172,category_inferred,0.192
106104189,SKILL_0171,category_inferred,0.172
106104242,SKILL_0279,extraction,1.0
106104242,SKILL_0395,direct_title_match,0.97
106104242,SKILL_0409,category_inferred,0.171
106104242,SKILL_0504,category_inferred,0.165
106104242,SKILL_0431,category_inferred,0.164
106104242,SKILL_0469,category_inferred,0.145
106104242,SKILL_0503,category_inferred,0.134
106104242,SKILL_0456,category_inferred,0.132
106104356,SKILL_0170,direct_title_match,0.97
106104356,SKILL_0143,category_inferred,0.26
106104356,SKILL_0145,category_inferred,0.249
106104356,SKILL_0127,category_inferred,0.244
106104356,SKILL_0248,category_inferred,0.231
106104356,SKILL_0150,category_inferred,0.226
106104356,SKILL_0190,category_inferred,0.226
106104449,SKILL_0431,direct_title_match,0.97
106104449,SKILL_0429,category_inferred,0.258
106104449,SKILL_0395,category_inferred,0.238
106104449,SKILL_0435,category_inferred,0.214
106104449,SKILL_0436,category_inferred,0.201
106104449,SKILL_0543,category_inferred,0.156
106104449,SKILL_0447,category_inferred,0.153
106104467,SKILL_0031,direct_title_match,0.97
106104467,SKILL_0012,category_inferred,0.251
106104467,SKILL_0020,category_inferred,0.221
106104467,SKILL_0049,category_inferred,0.215
106104467,SKILL_0010,category_inferred,0.211
106104467,SKILL_0030,category_inferred,0.207
106104467,SKILL_0117,category_inferred,0.199
106105158,SKILL_0135,category_inferred,0.185
106105158,SKILL_0235,category_inferred,0.17
106105158,SKILL_0241,category_inferred,0.167
106105158,SKILL_0194,category_inferred,0.167
106105158,SKILL_0147,category_inferred,0.165
106105158,SKILL_0130,category_inferred,0.148
106105159,SKILL_0477,direct_title_match,0.97
106105159,SKILL_0446,category_inferred,0.304
106105159,SKILL_0528,category_inferred,0.297
106105159,SKILL_0459,category_inferred,0.265
106105159,SKILL_0461,category_inferred,0.211
106105159,SKILL_0471,category_inferred,0.19
106105159,SKILL_0546,category_inferred,0.172
106105162,SKILL_0003,category_inferred,0.341
106105162,SKILL_0005,category_inferred,0.232
106105162,SKILL_0113,category_inferred,0.196
106105162,SKILL_0011,category_inferred,0.187
106105162,SKILL_0060,category_inferred,0.172
106105162,SKILL_0093,category_inferred,0.172
106105164,SKILL_0155,direct_title_match,0.97
106105164,SKILL_0147,category_inferred,0.3
106105164,SKILL_0136,category_inferred,0.288
106105164,SKILL_0127,category_inferred,0.259
106105164,SKILL_0254,category_inferred,0.23
106105164,SKILL_0257,category_inferred,0.211
106105164,SKILL_0156,category_inferred,0.188
106105166,SKILL_0395,direct_title_match,0.97
106105166,SKILL_0500,category_inferred,0.198
106105166,SKILL_0437,category_inferred,0.166
106105166,SKILL_0494,category_inferred,0.149
106105166,SKILL_0535,category_inferred,0.135
106105166,SKILL_0498,category_inferred,0.126
106105167,SKILL_0431,direct_title_match,0.97
106105167,SKILL_0429,category_inferred,0.364
106105167,SKILL_0395,category_inferred,0.26
106105167,SKILL_0430,category_inferred,0.25
106105167,SKILL_0435,category_inferred,0.221
106105167,SKILL_0436,category_inferred,0.215
106105167,SKILL_0491,category_inferred,0.191
106105174,SKILL_0180,direct_title_match,0.97
106105174,SKILL_0236,category_inferred,0.398
106105174,SKILL_0219,category_inferred,0.174
106105174,SKILL_0254,category_inferred,0.153
106105174,SKILL_0235,category_inferred,0.153
106105174,SKILL_0226,category_inferred,0.152
106105174,SKILL_0241,category_inferred,0.146
106105193,SKILL_0528,direct_title_match,0.97
106105193,SKILL_0477,category_inferred,0.4
106105193,SKILL_0459,category_inferred,0.277
106105193,SKILL_0446,category_inferred,0.266
106105193,SKILL_0403,category_inferred,0.212
106105193,SKILL_0461,category_inferred,0.197
106105193,SKILL_0432,category_inferred,0.169
106105217,SKILL_0047,category_inferred,0.438
106105217,SKILL_0048,category_inferred,0.229
106105217,SKILL_0051,category_inferred,0.185
106105217,SKILL_0098,category_inferred,0.146
106105223,SKILL_0431,direct_title_match,0.97
106105223,SKILL_0429,category_inferred,0.271
106105223,SKILL_0395,category_inferred,0.192
106105223,SKILL_0430,category_inferred,0.185
106105223,SKILL_0469,category_inferred,0.182
106105223,SKILL_0457,category_inferred,0.158
106105223,SKILL_0436,category_inferred,0.158
106105225,SKILL_0155,direct_title_match,0.97
106105225,SKILL_0396,direct_title_match,0.97
106105225,SKILL_0415,category_inferred,0.224
106105225,SKILL_0436,category_inferred,0.18
106105225,SKILL_0391,category_inferred,0.171
106105225,SKILL_0403,category_inferred,0.165
106105225,SKILL_0422,category_inferred,0.151
106105225,SKILL_0481,category_inferred,0.14
106105235,SKILL_0413,category_inferred,0.459
106105235,SKILL_0412,category_inferred,0.36
106105235,SKILL_0414,category_inferred,0.309
106105235,SKILL_0484,category_inferred,0.307
106105235,SKILL_0411,category_inferred,0.306
106105235,SKILL_0416,category_inferred,0.306
106105470,SKILL_0240,category_inferred,0.441
106105470,SKILL_0166,category_inferred,0.279
106105470,SKILL_0163,category_inferred,0.222
106105471,SKILL_0155,direct_title_match,0.97
106105471,SKILL_0147,category_inferred,0.364
106105471,SKILL_0136,category_inferred,0.286
106105471,SKILL_0257,category_inferred,0.27
106105471,SKILL_0127,category_inferred,0.255
106105471,SKILL_0208,category_inferred,0.142
106105471,SKILL_0252,category_inferred,0.13
106106137,SKILL_0133,direct_title_match,0.97
106106137,SKILL_0147,category_inferred,0.211
106106137,SKILL_0131,category_inferred,0.187
106106137,SKILL_0129,category_inferred,0.182
106106137,SKILL_0130,category_inferred,0.178
106106137,SKILL_0136,category_inferred,0.176
106106137,SKILL_0143,category_inferred,0.175
106106199,SKILL_0031,direct_title_match,0.97
106106199,SKILL_0113,category_inferred,0.479
106106199,SKILL_0043,category_inferred,0.384
106106199,SKILL_0005,category_inferred,0.358
106106199,SKILL_0112,category_inferred,0.329
106106199,SKILL_0088,category_inferred,0.293
106106199,SKILL_0046,category_inferred,0.279
106106210,SKILL_0127,direct_title_match,0.97
106106210,SKILL_0147,category_inferred,0.39
106106210,SKILL_0130,category_inferred,0.359
106106210,SKILL_0131,category_inferred,0.339
106106210,SKILL_0129,category_inferred,0.33
106106210,SKILL_0152,category_inferred,0.304
106106210,SKILL_0136,category_inferred,0.195
106106224,SKILL_0172,direct_title_match,0.97
106106224,SKILL_0184,direct_title_match,0.97
106106224,SKILL_0235,category_inferred,0.188
106106224,SKILL_0170,category_inferred,0.185
106106224,SKILL_0171,category_inferred,0.165
106106224,SKILL_0159,category_inferred,0.157
106106224,SKILL_0145,category_inferred,0.134
106106224,SKILL_0248,category_inferred,0.134
106106230,SKILL_0155,direct_title_match,0.97
106106230,SKILL_0147,category_inferred,0.364
106106230,SKILL_0136,category_inferred,0.347
106106230,SKILL_0127,category_inferred,0.306
106106230,SKILL_0257,category_inferred,0.225
106106232,SKILL_0155,direct_title_match,0.97
106106232,SKILL_0147,category_inferred,0.219
106106232,SKILL_0136,category_inferred,0.211
106106232,SKILL_0246,category_inferred,0.185
106106232,SKILL_0127,category_inferred,0.185
106106232,SKILL_0225,category_inferred,0.177
106106232,SKILL_0262,category_inferred,0.165
106106238,SKILL_0240,category_inferred,0.371
106106238,SKILL_0166,category_inferred,0.237
106106238,SKILL_0163,category_inferred,0.185
106106238,SKILL_0135,category_inferred,0.125
106106239,SKILL_0250,direct_title_match,0.97
106106239,SKILL_0254,category_inferred,0.264
106106239,SKILL_0163,category_inferred,0.26
106106239,SKILL_0156,category_inferred,0.216
106106239,SKILL_0184,category_inferred,0.206
106106239,SKILL_0234,category_inferred,0.189
106106239,SKILL_0191,category_inferred,0.185
106106241,SKILL_0155,direct_title_match,0.97
106106241,SKILL_0147,category_inferred,0.327
106106241,SKILL_0136,category_inferred,0.312
106106241,SKILL_0127,category_inferred,0.28
106106241,SKILL_0257,category_inferred,0.203
106106241,SKILL_0246,category_inferred,0.138
106106241,SKILL_0225,category_inferred,0.127
106106248,SKILL_0031,direct_title_match,0.97
106106248,SKILL_0032,category_inferred,0.297
106106248,SKILL_0012,category_inferred,0.282
106106248,SKILL_0104,category_inferred,0.28
106106248,SKILL_0042,category_inferred,0.247
106106248,SKILL_0049,category_inferred,0.232
106106248,SKILL_0020,category_inferred,0.231
106106361,SKILL_0166,direct_title_match,0.97
106106361,SKILL_0165,category_inferred,0.409
106106361,SKILL_0240,category_inferred,0.282
106106361,SKILL_0177,category_inferred,0.264
106106361,SKILL_0202,category_inferred,0.189
106106361,SKILL_0227,category_inferred,0.18
106106361,SKILL_0232,category_inferred,0.168
106108468,SKILL_0155,direct_title_match,0.97
106108468,SKILL_0147,category_inferred,0.313
106108468,SKILL_0136,category_inferred,0.298
106108468,SKILL_0127,category_inferred,0.263
106108468,SKILL_0257,category_inferred,0.218
108102169,SKILL_0528,direct_title_match,0.97
108102169,SKILL_0477,category_inferred,0.368
108102169,SKILL_0459,category_inferred,0.258
108102169,SKILL_0446,category_inferred,0.253
108102169,SKILL_0392,category_inferred,0.194
108102169,SKILL_0461,category_inferred,0.177
108102169,SKILL_0437,category_inferred,0.16
109102392,SKILL_0177,direct_title_match,0.97
109102392,SKILL_0233,category_inferred,0.262
109102392,SKILL_0161,category_inferred,0.192
109102392,SKILL_0181,category_inferred,0.187
109102392,SKILL_0182,category_inferred,0.185
109102392,SKILL_0144,category_inferred,0.179
109102392,SKILL_0165,category_inferred,0.178
109106137,SKILL_0222,category_inferred,0.437
109106137,SKILL_0240,category_inferred,0.138
110104094,SKILL_0254,direct_title_match,0.97
110104094,SKILL_0156,category_inferred,0.255
110104094,SKILL_0206,category_inferred,0.242
110104094,SKILL_0216,category_inferred,0.227
110104094,SKILL_0234,category_inferred,0.2
110104094,SKILL_0241,category_inferred,0.196
110104094,SKILL_0246,category_inferred,0.188
110104125,SKILL_0254,direct_title_match,0.97
110104125,SKILL_0156,category_inferred,0.255
110104125,SKILL_0206,category_inferred,0.252
110104125,SKILL_0216,category_inferred,0.234
110104125,SKILL_0234,category_inferred,0.198
110104125,SKILL_0241,category_inferred,0.189
110104125,SKILL_0246,category_inferred,0.185
110104164,SKILL_0240,category_inferred,0.395
110104164,SKILL_0166,category_inferred,0.255
110104164,SKILL_0163,category_inferred,0.199
110104164,SKILL_0156,category_inferred,0.162
110104164,SKILL_0243,category_inferred,0.123
110105142,SKILL_0227,direct_title_match,0.97
110105142,SKILL_0177,category_inferred,0.325
110105142,SKILL_0166,category_inferred,0.241
110105142,SKILL_0165,category_inferred,0.241
110105142,SKILL_0202,category_inferred,0.233
110105142,SKILL_0232,category_inferred,0.177
110105142,SKILL_0156,category_inferred,0.122
110107092,SKILL_0144,extraction,1.0
110107092,SKILL_0180,direct_title_match,0.97
110107092,SKILL_0165,category_inferred,0.374
110107092,SKILL_0166,category_inferred,0.366
110107092,SKILL_0177,category_inferred,0.245
110107092,SKILL_0253,category_inferred,0.216
110107092,SKILL_0227,category_inferred,0.209
110107092,SKILL_0232,category_inferred,0.195
110107129,SKILL_0400,direct_title_match,0.97
110107129,SKILL_0427,category_inferred,0.283
110107129,SKILL_0404,category_inferred,0.173
110107129,SKILL_0442,category_inferred,0.166
110107129,SKILL_0424,category_inferred,0.166
110107129,SKILL_0405,category_inferred,0.162
110107129,SKILL_0420,category_inferred,0.161
111104100,SKILL_0144,direct_title_match,0.97
111104100,SKILL_0182,category_inferred,0.223
111104100,SKILL_0171,category_inferred,0.179
111104100,SKILL_0146,category_inferred,0.179
111104100,SKILL_0192,category_inferred,0.177
111104100,SKILL_0190,category_inferred,0.171
111104100,SKILL_0262,category_inferred,0.161
111104160,SKILL_0144,direct_title_match,0.97
111104160,SKILL_0182,category_inferred,0.245
111104160,SKILL_0146,category_inferred,0.202
111104160,SKILL_0171,category_inferred,0.201
111104160,SKILL_0192,category_inferred,0.199
111104160,SKILL_0190,category_inferred,0.188
111104160,SKILL_0233,category_inferred,0.188
MANUAL_0001,SKILL_0274,manual_supplement,0.75
MANUAL_0002,SKILL_0178,manual_supplement,0.75
MANUAL_0003,SKILL_0031,manual_supplement,0.75
MANUAL_0003,SKILL_0395,manual_supplement,0.75
MANUAL_0004,SKILL_0113,manual_supplement,0.75
MANUAL_0005,SKILL_0431,manual_supplement,0.75
MANUAL_0005,SKILL_0004,manual_supplement,0.75
MANUAL_0007,SKILL_0492,manual_supplement,0.75
MANUAL_0010,SKILL_0400,manual_supplement,0.75
MANUAL_0011,SKILL_0397,manual_supplement,0.75
MANUAL_0012,SKILL_0397,manual_supplement,0.75
MANUAL_0014,SKILL_0031,manual_supplement,0.75
MANUAL_0015,SKILL_0317,manual_supplement,0.75
MANUAL_0016,SKILL_0177,manual_supplement,0.75
MANUAL_0017,SKILL_0037,manual_supplement,0.75
MANUAL_0017,SKILL_0511,manual_supplement,0.75
MANUAL_0018,SKILL_0272,manual_supplement,0.75
MANUAL_0019,SKILL_0031,manual_supplement,0.75
MANUAL_0020,SKILL_0511,manual_supplement,0.75
