alias,skill_id,confidence
C++ framework,SKILL_0001,1.0
C++ software,SKILL_0001,1.0
EU data protection,SKILL_0002,1.0
General Data Protection Regulation,SKILL_0002,1.0
knowledge of GDPR,SKILL_0002,1.0
SSL,SKILL_0003,1.0
TLS,SKILL_0003,1.0
asymmetric cryptography,SKILL_0003,1.0
public-key cryptography,SKILL_0003,1.0
secure sockets layer,SKILL_0003,1.0
symmetric-key algorithm,SKILL_0003,1.0
transport layer security,SKILL_0003,1.0
ICT architecture and infrastructure,SKILL_0004,1.0
ICT infrastructure and operations,SKILL_0004,1.0
IT architecture and infrastructure,SKILL_0004,1.0
IT infrastructure and operations,SKILL_0004,1.0
ICT network security threats,SKILL_0005,1.0
information systems security risks,SKILL_0005,1.0
ICT networking devices,SKILL_0006,1.0
computer networking devices,SKILL_0006,1.0
performance analysis techniques,SKILL_0007,1.0
CMM,SKILL_0008,1.0
CMMI (Capability Maturity Model Integrated),SKILL_0008,1.0
Quality maturity models,SKILL_0008,1.0
software process quality,SKILL_0008,1.0
ICT recovery methods,SKILL_0009,1.0
ICT recovery techniques for corrupted data,SKILL_0009,1.0
ICT recovery techniques for corrupted software components,SKILL_0009,1.0
ICT recovery techniques for damaged and corrupted software components,SKILL_0009,1.0
ICT recovery techniques for hardware,SKILL_0009,1.0
ICT protection,SKILL_0010,1.0
ICT security,SKILL_0010,1.0
ICT welfare maintenance,SKILL_0010,1.0
ICT well-being maintenance,SKILL_0010,1.0
information and communication technologies safety,SKILL_0010,1.0
information and communication technology safety,SKILL_0010,1.0
ICT law,SKILL_0011,1.0
cyber-security regulation,SKILL_0011,1.0
legal aspects of computing,SKILL_0011,1.0
network and information security legislation,SKILL_0011,1.0
ICT security compliances,SKILL_0012,1.0
ICT security frameworks,SKILL_0012,1.0
IT security compliances,SKILL_0012,1.0
IT security frameworks,SKILL_0012,1.0
IT security standards,SKILL_0012,1.0
cyber security compliances,SKILL_0012,1.0
cyber security frameworks,SKILL_0012,1.0
cyber security standards,SKILL_0012,1.0
information security compliances,SKILL_0012,1.0
information security frameworks,SKILL_0012,1.0
information security standards,SKILL_0012,1.0
addressing problems critically,SKILL_0013,1.0
critically address problems,SKILL_0013,1.0
critically addressing problems,SKILL_0013,1.0
think about problems critically,SKILL_0013,1.0
think critically about problems,SKILL_0013,1.0
thinking about problems critically,SKILL_0013,1.0
thinking critically about problems,SKILL_0013,1.0
advise on management of security risks,SKILL_0014,1.0
advise on security risks,SKILL_0014,1.0
advising on security risk management,SKILL_0014,1.0
make recommendations about security risk management,SKILL_0014,1.0
offer suggestions on security risk management,SKILL_0014,1.0
analyse information and communications technology system,SKILL_0015,1.0
analyze ICT system,SKILL_0015,1.0
analyze information and communications technology system,SKILL_0015,1.0
assess ICT system,SKILL_0015,1.0
assess information and communications technology system,SKILL_0015,1.0
administer company policies,SKILL_0016,1.0
apply company policy,SKILL_0016,1.0
applying company policies,SKILL_0016,1.0
company policy application,SKILL_0016,1.0
employ company policies,SKILL_0016,1.0
implement company policies,SKILL_0016,1.0
utilise company policies,SKILL_0016,1.0
administer conflict management,SKILL_0017,1.0
application of conflict management,SKILL_0017,1.0
applying conflict management,SKILL_0017,1.0
conflict management application,SKILL_0017,1.0
employ conflict management,SKILL_0017,1.0
implement conflict management,SKILL_0017,1.0
utilise conflict management,SKILL_0017,1.0
capture ICT knowledge,SKILL_0018,1.0
capture IT knowledge,SKILL_0018,1.0
methods for assessment of risks and threats,SKILL_0019,1.0
methods for handling security-related information,SKILL_0019,1.0
principles for handling security-related information,SKILL_0019,1.0
principles of assessment of risks and threats,SKILL_0019,1.0
techniques for assessment of risks and threats,SKILL_0019,1.0
techniques for handling security-related information,SKILL_0019,1.0
ICT security threats,SKILL_0020,1.0
cybersecurity threats,SKILL_0020,1.0
information security threats,SKILL_0020,1.0
ensure ICT system quality,SKILL_0021,1.0
ensure ICT systems meet required standards,SKILL_0021,1.0
audit procedures,SKILL_0022,1.0
battery audit process,SKILL_0022,1.0
HVAC systems,SKILL_0023,1.0
M&E systems,SKILL_0023,1.0
building M&E systems,SKILL_0023,1.0
building monitoring systems,SKILL_0023,1.0
building monitoring technology systems,SKILL_0023,1.0
lighting systems,SKILL_0023,1.0
systems of building monitoring technology,SKILL_0023,1.0
collect cyber defence intelligence,SKILL_0024,1.0
collect data for cyber defence through DNS request logs,SKILL_0024,1.0
collect data for cyber defence through online trade records,SKILL_0024,1.0
gather cyber defence data,SKILL_0024,1.0
gather cyber defence intelligence,SKILL_0024,1.0
communicate to stakeholders,SKILL_0025,1.0
communicate with providers of business support services,SKILL_0025,1.0
communicating with stakeholders,SKILL_0025,1.0
inform stakeholders of ideas and objectives,SKILL_0025,1.0
comply with a legal regulation,SKILL_0026,1.0
comply with legal laws,SKILL_0026,1.0
comply with legal legislation,SKILL_0026,1.0
comply with legal rules,SKILL_0026,1.0
comply with legal statutes,SKILL_0026,1.0
complying with legal regulations,SKILL_0026,1.0
legal regulation compliance,SKILL_0026,1.0
digital forensic investigation,SKILL_0027,1.0
forensic IT,SKILL_0027,1.0
collaborate with co-workers,SKILL_0028,1.0
collaborate with colleagues,SKILL_0028,1.0
cooperate with co-workers,SKILL_0028,1.0
work collaboratively,SKILL_0028,1.0
work cooperatively,SKILL_0028,1.0
work in collaboration with co-workers,SKILL_0028,1.0
work in collaboration with colleague,SKILL_0028,1.0
work in cooperation with co-workers,SKILL_0028,1.0
work in cooperation with colleagues,SKILL_0028,1.0
work together with co-workers,SKILL_0028,1.0
work together with colleagues,SKILL_0028,1.0
accident report completion,SKILL_0029,1.0
complete accident report,SKILL_0029,1.0
completing accident report,SKILL_0029,1.0
completion of accident report,SKILL_0029,1.0
creating incident reports,SKILL_0029,1.0
creation of incident reports,SKILL_0029,1.0
incident report creation,SKILL_0029,1.0
incident reports creation,SKILL_0029,1.0
cyber defence mechanisms,SKILL_0030,1.0
cyber/digital/IT/ICT/information security controls,SKILL_0030,1.0
cybersecurity measures,SKILL_0030,1.0
network communications security measures,SKILL_0030,1.0
ICT security,SKILL_0031,1.0
IT security,SKILL_0031,1.0
cybersecurity,SKILL_0031,1.0
digital security,SKILL_0031,1.0
information and communications technology security,SKILL_0031,1.0
information security,SKILL_0031,1.0
data privacy,SKILL_0032,1.0
information privacy,SKILL_0032,1.0
paradigms of data privacy,SKILL_0032,1.0
paradigms of data protection,SKILL_0032,1.0
principles of data privacy,SKILL_0032,1.0
principles of data protection,SKILL_0032,1.0
principles of information privacy,SKILL_0032,1.0
protection of data,SKILL_0032,1.0
protection of private data,SKILL_0032,1.0
protection of private information,SKILL_0032,1.0
decision support matrix,SKILL_0033,1.0
decision support software,SKILL_0033,1.0
decision-making tools,SKILL_0033,1.0
design and implement security policies,SKILL_0034,1.0
plan and implement security policies,SKILL_0034,1.0
define information security approach,SKILL_0035,1.0
define information security strategy,SKILL_0035,1.0
educate about data confidentiality,SKILL_0036,1.0
educating about data confidentiality,SKILL_0036,1.0
educating on data confidentiality,SKILL_0036,1.0
instruct on data confidentiality,SKILL_0036,1.0
teach data confidentiality principles,SKILL_0036,1.0
achieve shared understandings with stakeholders,SKILL_0037,1.0
build partnerships with stakeholders,SKILL_0037,1.0
negotiate agreements with stakeholders,SKILL_0037,1.0
undertake stakeholders engagement processes,SKILL_0037,1.0
use processes for negotiated agreements with stakeholders,SKILL_0037,1.0
enforce adherence to corporate ICT regulations,SKILL_0038,1.0
guarantee adherence to organisational ICT standards,SKILL_0038,1.0
guarantee compliance with company IT standards,SKILL_0038,1.0
ensure compliance with legislative regulations,SKILL_0039,1.0
certify compliance with policies,SKILL_0040,1.0
ensure compliance with policy,SKILL_0040,1.0
ensure policy compliance,SKILL_0040,1.0
ensuring compliance with policies,SKILL_0040,1.0
guarantee compliance with policies,SKILL_0040,1.0
make sure policies are compliant,SKILL_0040,1.0
build effective cross-group cooperation,SKILL_0041,1.0
communicate effectively across teams,SKILL_0041,1.0
ensure cooperation cross-department,SKILL_0041,1.0
ensure cross-departmental cooperation,SKILL_0041,1.0
ensure confidentiality of data and information,SKILL_0042,1.0
ensure data privacy,SKILL_0042,1.0
maintain privacy and confidentiality of information,SKILL_0042,1.0
assure information security,SKILL_0043,1.0
assure information surveillance,SKILL_0043,1.0
enable information security,SKILL_0043,1.0
enable information surveillance,SKILL_0043,1.0
provide information security,SKILL_0043,1.0
provide information surveillance,SKILL_0043,1.0
secure information security,SKILL_0043,1.0
secure information surveillance,SKILL_0043,1.0
