skill_id,district_id,sector,period,current_demand_count,anticipated_demand_count,demand_score,strength_tier,sample_size,recent_growth,source
SKILL_0254,Amravati,IT/Software - Data & AI,2025-09,1,0,1.0,INSUFFICIENT,1,,naukri:indian-job-market-dataset-2025
SKILL_0431,Amravati,IT/Software - Data & AI,2025-09,1,0,1.0,INSUFFICIENT,1,,naukri:indian-job-market-dataset-2025
SKILL_0374,Aurangabad,IT/Software - QA & Testing,2025-09,2,0,0.2222,INSUFFICIENT,9,,naukri:indian-job-market-dataset-2025
SKILL_0127,Aurangabad,IT/Software - QA & Testing,2025-09,1,0,0.1111,INSUFFICIENT,9,,naukri:indian-job-market-dataset-2025
SKILL_0588,Aurangabad,IT/Software - QA & Testing,2025-09,1,0,0.1111,INSUFFICIENT,9,,naukri:indian-job-market-dataset-2025
SKILL_0598,Aurangabad,IT/Software - QA & Testing,2025-09,1,0,0.1111,INSUFFICIENT,9,,naukri:indian-job-market-dataset-2025
SKILL_0395,Aurangabad,IT/Software - Software Development,2025-09,1,0,1.0,INSUFFICIENT,1,,naukri:indian-job-market-dataset-2025
SKILL_0564,Jalna,IT/Software - Data & AI,2025-09,1,0,1.0,INSUFFICIENT,1,,naukri:indian-job-market-dataset-2025
SKILL_0225,Kolhapur,IT/Software - Data & AI,2025-09,1,0,0.5,INSUFFICIENT,2,,naukri:indian-job-market-dataset-2025
SKILL_0254,Kolhapur,IT/Software - Data & AI,2025-09,1,0,0.5,INSUFFICIENT,2,,naukri:indian-job-market-dataset-2025
SKILL_0353,Kolhapur,IT/Software - Data & AI,2025-09,1,0,0.5,INSUFFICIENT,2,,naukri:indian-job-market-dataset-2025
SKILL_0511,Kolhapur,IT/Software - QA & Testing,2025-09,2,0,1.0,INSUFFICIENT,2,,naukri:indian-job-market-dataset-2025
SKILL_0177,Kolhapur,IT/Software - QA & Testing,2025-09,1,0,0.5,INSUFFICIENT,2,,naukri:indian-job-market-dataset-2025
SKILL_0353,Kolhapur,IT/Software - QA & Testing,2025-09,1,0,0.5,INSUFFICIENT,2,,naukri:indian-job-market-dataset-2025
SKILL_0374,Kolhapur,IT/Software - QA & Testing,2025-09,1,0,0.5,INSUFFICIENT,2,,naukri:indian-job-market-dataset-2025
SKILL_0564,Kolhapur,IT/Software - QA & Testing,2025-09,1,0,0.5,INSUFFICIENT,2,,naukri:indian-job-market-dataset-2025
SKILL_0605,Kolhapur,IT/Software - QA & Testing,2025-09,1,0,0.5,INSUFFICIENT,2,,naukri:indian-job-market-dataset-2025
SKILL_0396,Kolhapur,IT/Software - Software Development,2025-09,3,0,1.0,INSUFFICIENT,3,,naukri:indian-job-market-dataset-2025
SKILL_0274,Kolhapur,IT/Software - Software Development,2025-09,1,0,0.3333,INSUFFICIENT,3,,naukri:indian-job-market-dataset-2025
SKILL_0427,Kolhapur,IT/Software - Software Development,2025-09,1,0,0.3333,INSUFFICIENT,3,,naukri:indian-job-market-dataset-2025
SKILL_0031,Mumbai City,IT/Software - Cybersecurity,2025-09,41,0,0.4457,MEDIUM,92,,naukri:indian-job-market-dataset-2025
SKILL_0111,Mumbai City,IT/Software - Cybersecurity,2025-09,13,0,0.1413,MEDIUM,92,,naukri:indian-job-market-dataset-2025
SKILL_0170,Mumbai City,IT/Software - Cybersecurity,2025-09,13,0,0.1413,MEDIUM,92,,naukri:indian-job-market-dataset-2025
SKILL_0615,Mumbai City,IT/Software - Cybersecurity,2025-09,11,0,0.1196,MEDIUM,92,,naukri:indian-job-market-dataset-2025
SKILL_0430,Mumbai City,IT/Software - Cybersecurity,2025-09,9,0,0.0978,MEDIUM,92,,naukri:indian-job-market-dataset-2025
SKILL_0098,Mumbai City,IT/Software - Cybersecurity,2025-09,8,0,0.087,MEDIUM,92,,naukri:indian-job-market-dataset-2025
