skill_id,canonical_name,normalized_name,category,source,taxonomy_version,confidence,indian_alignment,nsqf_alignment,status,esco_uri
SKILL_0001,C++,c++,IT/Software - Cybersecurity,ESCO,v1.2.1,1.0,,,active,http://data.europa.eu/esco/skill/b633eb55-8f1f-4ae6-ab4c-2022ffe2cb7f
SKILL_0002,GDPR,gdpr,IT/Software - Cybersecurity,ESCO,v1.2.1,1.0,,,active,http://data.europa.eu/esco/skill/d3e9b00a-0891-4fa8-836d-8240ec3d2758
SKILL_0003,ICT encryption,ict encryption,IT/Software - Cybersecurity,ESCO,v1.2.1,1.0,,,active,http://data.europa.eu/esco/skill/d32db06e-bd06-4415-a7ab-1b0ee68caa9a
SKILL_0004,ICT infrastructure,ict infrastructure,IT/Software - Cybersecurity,ESCO,v1.2.1,1.0,,,active,http://data.europa.eu/esco/skill/d0c6d77e-cb25-4770-bf77-2073fc5f7523
SKILL_0005,ICT network security risks,ict network security risks,IT/Software - Cybersecurity,ESCO,v1.2.1,1.0,,,active,http://data.europa.eu/esco/skill/2ddb1226-1117-4eb4-ae65-3a2f5a5a3c80
SKILL_0006,ICT networking hardware,ict networking hardware,IT/Software - Cybersecurity,ESCO,v1.2.1,1.0,,,active,http://data.europa.eu/esco/skill/f9e788df-d68a-4f92-92c7-80e135fc35ff
SKILL_0007,ICT performance analysis methods,ict performance analysis methods,IT/Software - Cybersecurity,ESCO,v1.2.1,1.0,,,active,http://data.europa.eu/esco/skill/ed39edd3-44d0-4a16-9796-bfb99f92baf3
SKILL_0008,ICT process quality models,ict process quality models,IT/Software - Cybersecurity,ESCO,v1.2.1,1.0,,,active,http://data.europa.eu/esco/skill/fafe0b9d-dbd9-46bd-b770-26299539ce66
SKILL_0009,ICT recovery techniques,ict recovery techniques,IT/Software - Cybersecurity,ESCO,v1.2.1,1.0,,,active,http://data.europa.eu/esco/skill/c9e96450-421d-48af-9ee6-d9c50e29afc2
SKILL_0010,ICT safety,ict safety,IT/Software - Cybersecurity,ESCO,v1.2.1,1.0,,,active,http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2
SKILL_0011,ICT security legislation,ict security legislation,IT/Software - Cybersecurity,ESCO,v1.2.1,1.0,,,active,http://data.europa.eu/esco/skill/7814e88f-c133-4c3b-b27f-857afa145d42
SKILL_0012,ICT security standards,ict security standards,IT/Software - Cybersecurity,ESCO,v1.2.1,1.0,,,active,http://data.europa.eu/esco/skill/3ff589b7-68df-4ea5-ae41-b395bdb2378f
SKILL_0013,address problems critically,address problems critically,IT/Software - Cybersecurity,ESCO,v1.2.1,1.0,,,active,http://data.europa.eu/esco/skill/b9f16465-56a9-426b-a047-0f9f1f95ec92
SKILL_0014,advice on security risk management,advice on security risk management,IT/Software - Cybersecurity,ESCO,v1.2.1,1.0,,,active,http://data.europa.eu/esco/skill/e71c6cee-7247-49f4-829a-141c880ae938
SKILL_0015,analyse ICT system,analyse ict system,IT/Software - Cybersecurity,ESCO,v1.2.1,1.0,,,active,http://data.europa.eu/esco/skill/7adb8473-bcc6-4ff8-9850-76d945d40092
SKILL_0016,apply company policies,apply company policies,IT/Software - Cybersecurity,ESCO,v1.2.1,1.0,,,active,http://data.europa.eu/esco/skill/0a43729f-2a79-4dae-9faa-95520daae79f
SKILL_0017,apply conflict management,apply conflict management,IT/Software - Cybersecurity,ESCO,v1.2.1,1.0,,,active,http://data.europa.eu/esco/skill/0ee94af1-b445-4973-9c3f-459fab250342
SKILL_0018,assess ICT knowledge,assess ict knowledge,IT/Software - Cybersecurity,ESCO,v1.2.1,1.0,,,active,http://data.europa.eu/esco/skill/0dc7aa1b-b5af-4f4b-81ce-ee22ed8b6926
SKILL_0019,assessment of risks and threats,assessment of risks and threats,IT/Software - Cybersecurity,ESCO,v1.2.1,1.0,,,active,http://data.europa.eu/esco/skill/7f27f1ff-2e17-4b69-990e-c23334478313
SKILL_0020,attack vectors,attack vectors,IT/Software - Cybersecurity,ESCO,v1.2.1,1.0,,,active,http://data.europa.eu/esco/skill/501537a7-9d63-491d-ae02-09f04767ff1e
