skill_id,source_type,source_id,mention_text,matched_via,confidence,start_char,end_char
SKILL_0431,course,NPTEL_Dep_Free_Elective.csv:106105167,Cloud computing,alias,1.0,0,15
SKILL_0180,course,NPTEL_Dep_Free_Elective.csv:106105174,Data Mining,exact,1.0,0,11
SKILL_0133,course,NPTEL_Dep_Free_Elective.csv:106106137,Haskell,exact,1.0,16,23
SKILL_0144,course,NPTEL_Dep_Free_Elective.csv:111104100,R Software,alias,1.0,16,26
SKILL_0001,course,NPTEL_Dep_Free_Elective.csv:106105234,C++,exact,1.0,15,18
SKILL_0184,course,NPTEL_Dep_Free_Elective.csv:106106224,Deep Learning,exact,1.0,0,13
SKILL_0172,course,NPTEL_Dep_Free_Elective.csv:106106224,Computer Vision,exact,1.0,18,33
SKILL_0395,course,NPTEL_Dep_Free_Elective.csv:106105166,internet of things,exact,1.0,16,34
SKILL_0031,course,NPTEL_Dep_Free_Elective.csv:106106248,Cyber Security,exact,1.0,0,14
SKILL_0155,course,NPTEL_Dep_Free_Elective.csv:106105225,Algorithms,exact,1.0,19,29
SKILL_0396,course,NPTEL_Dep_Free_Elective.csv:106105225,Java,alias,1.0,36,40
SKILL_0363,course,NPTEL_Dep_Free_Elective.csv:106106183,Mathematics,exact,1.0,9,20
SKILL_0250,course,NPTEL_Dep_Free_Elective.csv:106106239,Social Network Analysis,exact,1.0,0,23
SKILL_0431,course,NPTEL_Dep_Free_Elective.csv:106105223,Cloud Computing,alias,1.0,7,22
SKILL_0127,course,NPTEL_Dep_Free_Elective.csv:106106210,Assembly,alias,1.0,18,26
SKILL_0155,course,NPTEL_Dep_Free_Elective.csv:106106230,Algorithms,exact,1.0,14,24
SKILL_0486,course,NPTEL_Dep_Free_Elective.csv:106101237,Game Theory,exact,1.0,16,27
SKILL_0363,course,NPTEL_Dep_Free_Elective.csv:106108227,Mathematics,exact,1.0,9,20
SKILL_0155,course,NPTEL_Dep_Free_Elective.csv:106106232,Algorithms,exact,1.0,43,53
SKILL_0144,course,NPTEL_Dep_Free_Elective.csv:111104160,R Software,alias,1.0,15,25
SKILL_0166,course,NPTEL_Dep_Free_Elective.csv:106106361,Business Intelligence,exact,1.0,0,21
SKILL_0431,course,NPTEL_Dep_Free_Elective.csv:106104182,Cloud Computing,alias,1.0,0,15
